team,year,TeamID,lookup,herop_percentot
VMI (Big South),2011,0,2011-0,0.147895336
Oakland (Summit League),2011,1324,2011-1324,0.212514758
Washington (Pac-12),2011,1449,2011-1449,0.198809524
BYU (Mountain West),2011,1140,2011-1140,0.335343788
Kansas (Big 12),2011,1242,2011-1242,0.207980653
LIU (NEC),2011,1254,2011-1254,0.157575758
Lamar University (Southland),2011,1249,2011-1249,0.158343484
Missouri (Big 12),2011,1281,2011-1281,0.209815951
South Dakota St. (Summit League),2011,1355,2011-1355,0.23955774
Duke (ACC),2011,1181,2011-1181,0.266009852
Belmont (ASUN),2011,1125,2011-1125,0.161691542
Saint Mary's (CA) (WCC),2011,1388,2011-1388,0.210526316
Iona (MAAC),2011,1233,2011-1233,0.228356336
Colorado (Big 12),2011,1160,2011-1160,0.25220681
Texas St. (Southland),2011,0,2011-0,0.165816327
Ohio St. (Big Ten),2011,1326,2011-1326,0.222079589
Coastal Carolina (Big South),2011,1157,2011-1157,0.239018088
Duquesne (Atlantic 10),2011,0,2011-0,0.168175938
North Carolina (ACC),2011,1314,2011-1314,0.188874515
Maryland (ACC),2011,1268,2011-1268,0.21919585
La Salle (Atlantic 10),2011,1247,2011-1247,0.193758127
Arizona (Pac-12),2011,1112,2011-1112,0.24609375
Kentucky (SEC),2011,1246,2011-1246,0.23046875
Gonzaga (WCC),2011,1211,2011-1211,0.169270833
Marquette (AAC),2011,1266,2011-1266,0.208604954
Vanderbilt (SEC),2011,1435,2011-1435,0.252933507
North Texas (Sun Belt),2011,1317,2011-1317,0.235294118
Col. of Charleston (SoCon),2011,1158,2011-1158,0.306282723
Northwestern St. (Southland),2011,1322,2011-1322,0.233289646
Longwood (Longwood),2011,1255,2011-1255,0.23853211
Lipscomb (ASUN),2011,1252,2011-1252,0.232283465
Providence (AAC),2011,1344,2011-1344,0.32325887
Utah Valley (Utah Valley),2011,0,2011-0,0.170827858
Notre Dame (AAC),2011,1323,2011-1323,0.247682119
UC Irvine (Big West),2011,1414,2011-1414,0.225165563
North Dakota St. (Summit League),2011,1295,2011-1295,0.202917772
Louisville (AAC),2011,1257,2011-1257,0.192819149
Texas (Big 12),2011,1400,2011-1400,0.247340426
Oral Roberts (Summit League),2011,1331,2011-1331,0.258666667
Tennessee Tech (OVC),2011,0,2011-0,0.173564753
Iowa St. (Big 12),2011,1235,2011-1235,0.231283422
Southern Miss. (C-USA),2011,1379,2011-1379,0.251336898
Ohio (MAC),2011,1325,2011-1325,0.21657754
Detroit Mercy (Horizon),2011,1178,2011-1178,0.174496644
Ole Miss (SEC),2011,1290,2011-1290,0.254032258
McNeese (Southland),2011,1270,2011-1270,0.215053763
Purdue Fort Wayne (Summit League),2011,0,2011-0,0.174966353
Elon (SoCon),2011,0,2011-0,0.175202156
UNC Asheville (Big South),2011,1421,2011-1421,0.206199461
Pittsburgh (AAC),2011,1338,2011-1338,0.22537112
Boise St. (WAC),2011,1129,2011-1129,0.208672087
Rider (MAAC),2011,0,2011-0,0.176151762
Charleston So. (Big South),2011,0,2011-0,0.176151762
Wofford (SoCon),2011,1459,2011-1459,0.271370421
New Mexico (Mountain West),2011,1307,2011-1307,0.176630435
Austin Peay (OVC),2011,1122,2011-1122,0.232336957
Lehigh (Patriot),2011,1250,2011-1250,0.296195652
Long Beach St. (Big West),2011,1253,2011-1253,0.232653061
Syracuse (AAC),2011,1393,2011-1393,0.176870748
George Mason (CAA),2011,1206,2011-1206,0.208731241
Marshall (C-USA),2011,1267,2011-1267,0.211459754
Butler (Horizon),2011,1139,2011-1139,0.227830832
Purdue (Big Ten),2011,1345,2011-1345,0.280054645
Coppin St. (MEAC),2011,1164,2011-1164,0.207650273
Valparaiso (Horizon),2011,1434,2011-1434,0.23255814
App State (SoCon),2011,1111,2011-1111,0.287277702
Washington St. (Pac-12),2011,1450,2011-1450,0.302739726
Kansas St. (Big 12),2011,1243,2011-1243,0.267123288
Santa Clara (WCC),2011,0,2011-0,0.178082192
San Jose St. (WAC),2011,0,2011-0,0.178326475
California (Pac-12),2011,1143,2011-1143,0.178326475
Texas Tech (Big 12),2011,1403,2011-1403,0.178571429
Villanova (AAC),2011,1437,2011-1437,0.211538462
Xavier (Atlantic 10),2011,1462,2011-1462,0.276098901
Western Mich. (MAC),2011,1444,2011-1444,0.178571429
Utah St. (WAC),2011,1429,2011-1429,0.2
Harvard (Ivy League),2011,1217,2011-1217,0.205801105
UConn (AAC),2011,1163,2011-1163,0.32320442
San Diego St. (Mountain West),2011,1361,2011-1361,0.209944751
Northern Colo. (Big Sky),2011,1294,2011-1294,0.29558011
Memphis (C-USA),2011,1272,2011-1272,0.179806362
Wichita St. (MVC),2011,1455,2011-1455,0.179806362
Northern Ariz. (Big Sky),2011,0,2011-0,0.180055402
Boston College (ACC),2011,1130,2011-1130,0.257975035
New Mexico St. (WAC),2011,1308,2011-1308,0.26629681
Weber St. (Big Sky),2011,1451,2011-1451,0.180305132
UNLV (Mountain West),2011,1424,2011-1424,0.180555556
Portland St. (Big Sky),2011,1340,2011-1340,0.180555556
Colorado St. (Mountain West),2011,1161,2011-1161,0.240611961
Buffalo (MAC),2011,1138,2011-1138,0.218358832
Northwestern (Big Ten),2011,1321,2011-1321,0.226703755
Quinnipiac (NEC),2011,0,2011-0,0.181058496
Illinois (Big Ten),2011,1228,2011-1228,0.208913649
Cal St. Fullerton (Big West),2011,1168,2011-1168,0.181058496
VCU (CAA),2011,1433,2011-1433,0.213389121
N.C. A&T (MEAC),2011,1299,2011-1299,0.237099024
Cleveland St. (Horizon),2011,1156,2011-1156,0.30125523
FIU (Sun Belt),2011,0,2011-0,0.181311018
Miami (FL) (ACC),2011,1274,2011-1274,0.208100559
Troy (Sun Belt),2011,1407,2011-1407,0.219273743
James Madison (CAA),2011,1241,2011-1241,0.248603352
Florida (SEC),2011,1196,2011-1196,0.181818182
Brown (Ivy League),2011,0,2011-0,0.181818182
IUPUI (Summit League),2011,1237,2011-1237,0.275524476
Davidson (SoCon),2011,1172,2011-1172,0.181818182
Georgetown (AAC),2011,1207,2011-1207,0.251051893
Portland (WCC),2011,0,2011-0,0.18258427
UC Davis (Big West),2011,1413,2011-1413,0.216292135
Richmond (Atlantic 10),2011,1350,2011-1350,0.252808989
UNC Greensboro (SoCon),2011,1422,2011-1422,0.182841069
UTEP (C-USA),2011,1431,2011-1431,0.271448664
Virginia Tech (ACC),2011,1439,2011-1439,0.261603376
Chattanooga (SoCon),2011,1151,2011-1151,0.182841069
UT Arlington (Southland),2011,1426,2011-1426,0.183356841
Louisiana (Sun Belt),2011,1418,2011-1418,0.183356841
Norfolk St. (MEAC),2011,1313,2011-1313,0.231638418
NC State (ACC),2011,1301,2011-1301,0.183615819
Columbia (Ivy League),2011,0,2011-0,0.183615819
LMU (CA) (WCC),2011,0,2011-0,0.183615819
Hofstra (CAA),2011,0,2011-0,0.183615819
Arkansas (SEC),2011,1116,2011-1116,0.214689266
Bucknell (Patriot),2011,1137,2011-1137,0.209335219
Kent St. (MAC),2011,1245,2011-1245,0.220650636
Temple (Atlantic 10),2011,1396,2011-1396,0.209335219
Tulsa (C-USA),2011,1409,2011-1409,0.284299859
Tennessee (SEC),2011,1397,2011-1397,0.245738636
UCLA (Pac-12),2011,1417,2011-1417,0.184921764
Lafayette (Patriot),2011,1248,2011-1248,0.224751067
Western Ky. (Sun Belt),2011,1443,2011-1443,0.221906117
South Alabama (Sun Belt),2011,1375,2011-1375,0.184921764
St. John's (NY) (AAC),2011,1385,2011-1385,0.256776034
Akron (MAC),2011,1103,2011-1103,0.185449358
Southeastern La. (Southland),2011,1368,2011-1368,0.211126961
Indiana (Big Ten),2011,1231,2011-1231,0.228571429
Central Conn. St. (NEC),2011,1148,2011-1148,0.278571429
Kansas City (Summit League),2011,0,2011-0,0.185714286
Sam Houston (Southland),2011,1358,2011-1358,0.278571429
St. Bonaventure (Atlantic 10),2011,1382,2011-1382,0.297142857
Florida St. (ACC),2011,1199,2011-1199,0.185979971
West Virginia (AAC),2011,1452,2011-1452,0.186246418
Nevada (WAC),2011,1305,2011-1305,0.186246418
Princeton (Ivy League),2011,1343,2011-1343,0.186246418
CSUN (Big West),2011,1169,2011-1169,0.23495702
Western Caro. (SoCon),2011,0,2011-0,0.186246418
Morehead St. (OVC),2011,1287,2011-1287,0.252148997
Middle Tenn. (Sun Belt),2011,1292,2011-1292,0.18651363
Oregon (Pac-12),2011,1332,2011-1332,0.213773314
Milwaukee (Horizon),2011,1454,2011-1454,0.222381636
Maine (America East),2011,0,2011-0,0.186781609
Baylor (Big 12),2011,1124,2011-1124,0.280172414
UTSA (Southland),2011,1427,2011-1427,0.244252874
Mississippi St. (SEC),2011,1280,2011-1280,0.25323741
Loyola Chicago (Horizon),2011,1260,2011-1260,0.18705036
UCF (C-USA),2011,1416,2011-1416,0.224783862
Wisconsin (Big Ten),2011,1458,2011-1458,0.272334294
Pepperdine (WCC),2011,1337,2011-1337,0.21037464
Tulane (C-USA),2011,0,2011-0,0.187590188
Oregon St. (Pac-12),2011,1333,2011-1333,0.187590188
Southern Utah (Summit League),2011,0,2011-0,0.187861272
Missouri St. (MVC),2011,0,2011-0,0.187861272
Michigan St. (Big Ten),2011,1277,2011-1277,0.243125904
Georgia (SEC),2011,1208,2011-1208,0.23154848
Minnesota (Big Ten),2011,1278,2011-1278,0.18813314
