year,TeamID,opexpperpart_men,opexpperteam_men,rev_men,exp_men,opexpperpart_men
2011,1105,6483,110215,667769,667769,
2011,1412,40812,489740,3121570,2805087,
2011,1106,6316,107372,782329,782329,
2011,1104,55368,885888,10766327,6410262,
2011,1240,10323,134198,785317,785317,
2011,1375,15196,303926,1621527,1414424,
2011,1407,9204,138055,960488,905058,
2011,1113,55279,773909,8591421,5527849,
2011,1112,115400,1731002,19285038,5806535,
2011,1213,21366,299126,1104696,1104696,
2011,1114,29424,411936,1110095,1553581,
2011,1116,84972,1444520,15515830,6839213,
2011,1115,12452,199232,607151,607151,
2011,1142,15530,295070,1211664,1211664,
2011,1167,13149,236680,784207,784207,
2011,1201,35815,465590,2652779,1947390,
2011,1168,11385,182160,1067877,1100643,
2011,1253,15144,257454,1500334,1528448,
2011,1169,10780,204818,1023831,1023831,
2011,1143,63579,1017256,6967208,5816679,
2011,1413,16783,218175,798130,798130,
2011,1414,13787,193013,1340996,1364129,
2011,1417,51424,925640,12353487,6277088,
2011,1364,16234,292216,1591579,1484962,
2011,1334,21121,380172,1910984,1910984,
2011,1337,13150,223550,1991599,1991599,
2011,1361,39317,589762,4102398,3203060,
2011,1360,14245,256401,2425380,2425380,
2011,1362,17720,265806,2285832,2285832,
2011,1425,48154,818619,3535629,4548364,
2011,1160,59036,885546,3587371,3811877,
2011,1294,13167,223839,1082974,1082974,
2011,1148,12506,150075,1139321,1139321,
2011,1163,117074,2224399,7745145,6940903,
2011,1216,13963,195477,1819792,1511038,
2011,1463,9132,127843,758694,748734,
2011,1175,18108,307828,1689936,1689461,
2011,1174,18344,256818,1565345,1663761,
2011,1110,13760,220167,1591888,1591888,
2011,1203,22792,364676,2722829,2722829,
2011,1416,24155,386485,2279998,2134978,
2011,1197,9255,120309,786790,786730,
2011,1194,24484,342774,379745,1205402,
2011,1199,134690,1616285,5756857,5126393,
2011,1196,94686,1325602,10184136,7908661,
2011,1274,67651,879457,7081121,4651481,
2011,1316,13444,188215,658882,1067122,
2011,1378,56015,784203,4588627,3215424,
2011,1210,56507,904107,9143914,3873987,
2011,1209,27795,416930,282939,1386497,
2011,1208,57070,741916,8331515,4509622,
2011,1273,7505,135087,1083528,1069687,
2011,1218,20242,323872,1173795,2089379,
2011,1129,23300,349505,1577277,1529236,
2011,1133,26059,443001,2759506,2937206,
2011,1177,62391,935867,6528661,6528661,
2011,1227,8171,163427,1154888,1254292,
2011,1228,76887,1076416,14413222,4980589,
2011,1260,10538,179138,1752285,1752285,
2011,1321,44550,668256,10048801,4158854,
